name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
LAF1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAF2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAF3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAF4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
-0	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	n/a
-1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	n/a
LAF5	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAF6	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAF7	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAF8	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAT1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAT2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAT3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAT4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	excel-file-labeled
LAT5	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	excel-file-labeled
LAT6	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAT7	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAT8	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAT9	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
E	MISC	n/a	0.0	500.0	Miscellaneous	1000.0	bad	n/a
LAT10	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	excel-file-labeled
LMT1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAF9	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAF10	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LMT2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LMT3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LMT4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	excel-file-labeled
LPT1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LPT2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LPT3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LPT4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LPT5	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LPT6	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	excel-file-labeled
LAD1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAD2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAD3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
LAD4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
