trial_type,count
+0.000000,4
Segment: REC START BP ALL EEG,4
A1+A2 OFF,4
+59.000000,4
SZ EVENT # (EEG SZ),4
Z ELECTROGRAPHIC END,4
Schedule,4
+61.000000,3
+72.000000,3
+64.000000,2
+67.000000,2
+80.000000,2
"Z LOW VOLT FAST LAD,",2
"Z SWC LAT1-2, 6-7, L",1
Z FOLLOWED BY LAT AN,1
Z LOW VOLTAGE FAST L,1
Z OVERRIDING SPIKING,1
Z NO CLINICAL CHANGE,1
"Z 4-5 HZ SWC LAT1-2,",1
+83.000000,1
Z POST ICTAL VOLT DE,1
+123.000000,1
Z PT WITH EYES CLOSE,1
+68.000000,1
Z START WITH LOW VOL,1
+70.000000,1
Z INTERMIXED FAST SP,1
Z LOW VOLTAGE RHY FA,1
+71.000000,1
Z RHY ACTIVITY FROM,1
+93.000000,1
Z MOUTH MOVEMENTS,1
+101.000000,1
Z TONGUE MOVEMENTS,1
+145.000000,1
Z WIPED NOSE WITH RI,1
+153.000000,1
Z LICKING INSIDE OF,1
+158.000000,1
+276.000000,1
+62.000000,1
Z LAH ALSO INVOLVED,1
Z ICTAL EVOLUTION LA,1
+78.000000,1
Z SLIGHT LIP TWITCH,1
+81.000000,1
Z POST-ICTAL DEPRESS,1
+128.000000,1
+46.000000,1
Z LAH INVOLVEMENT,1
Z HIGH VOLT SHPs LAT,1
"Z ICTAL BUILD LAD, L",1
+75.000000,1
Z NO CLEAR CLINICAL,1
+85.000000,1
+88.000000,1
Z POST ICTAL DEPRESS,1
