trial_type,count
+0.000000,75
A1+A2 OFF,69
offset,32
Schedule,29
sz onset,27
sz offset,26
SZ EVENT # (PB SZ),19
onset,19
+59.000000,17
+62.000000,17
Segment: REC START REC EEG,17
+60.000000,17
MARK ON,17
+61.000000,11
+72.000000,11
+66.000000,11
+65.000000,11
+68.000000,10
+77.000000,10
+80.000000,9
+71.000000,9
+86.000000,9
Segment: REC START BP ALL EEG,8
+64.000000,8
Z ELECTROGRAPHIC END,8
+74.000000,8
+84.000000,8
+83.000000,7
+101.000000,7
+63.000000,7
+98.000000,7
SZ EVENT #(PB SZ),7
clinical onset,7
+67.000000,6
+78.000000,6
+128.000000,6
+106.000000,6
+79.000000,6
+89.000000,6
+82.000000,6
1st change,6
SZ EVENT # (EEG SZ),5
+70.000000,5
+85.000000,5
+94.000000,5
+119.000000,5
+69.000000,5
+120.000000,5
Z DEVOLUTION,5
Segment: REC START ALL BP EEG,5
Offset,5
Onset,5
eeg sz start,5
eeg sz end,5
+75.000000,4
Z POST ICTAL DEPRESS,4
+55.000000,4
+73.000000,4
+91.000000,4
+115.000000,4
+116.000000,4
+118.000000,4
Z ELECTROGRAPHIC ONS,4
+111.000000,4
+159.000000,4
+181.000000,4
z clinical onset,4
+108.000000,4
+112.000000,4
+95.000000,4
+105.000000,4
+97.000000,4
Z ICTAL BUILD,4
+96.000000,4
Z MOANING,4
+92.000000,4
+76.000000,4
+90.000000,4
Segment: REC START Kelly EEG,4
Segment: REC START Harmon Ref,4
Segment: REC START Par-Cac2 E,4
Segment: REC START Meyeroff E,4
+93.000000,3
+158.000000,3
Z ICTAL EVOLUTION LA,3
+81.000000,3
+46.000000,3
+88.000000,3
+87.000000,3
+141.000000,3
+135.000000,3
+147.000000,3
+102.000000,3
+148.000000,3
OVER,3
Z DROOLING,3
+162.000000,3
+143.000000,3
+109.000000,3
+110.000000,3
Segment: REC START TomiPintle,3
Segment: REC START Carr-susan,3
Segment: REC START SB-REF EEG,3
Segment: REC START EL-Ref EEG,3
Segment: REC START Prater EEG,3
sz,3
Segment: REC START JOHNSON D,3
GTC,3
Segment: REC START Naula Ref,3
Segment: REC START Yela-Ref E,3
+145.000000,2
+153.000000,2
"Z LOW VOLT FAST LAD,",2
Z POST-ICTAL DEPRESS,2
Z NO CLEAR CLINICAL,2
Z SLEEPING,2
+104.000000,2
+121.000000,2
+149.000000,2
+177.000000,2
Z DEVOLVES,2
+227.000000,2
Z LOOKING UP TO THE,2
+236.000000,2
Z TURNED ON SIDE,2
+151.000000,2
+206.000000,2
+230.000000,2
+126.000000,2
Z HIGH VOLTAGE SPIKI,2
+171.000000,2
+180.000000,2
+124.000000,2
z not responding to,2
+127.000000,2
+134.000000,2
+150.000000,2
+179.000000,2
+188.000000,2
+220.000000,2
+273.000000,2
+103.000000,2
Z LAT POLYSPIKES,2
+142.000000,2
+197.000000,2
+99.000000,2
+133.000000,2
+144.000000,2
Z BLINKING,2
+139.000000,2
+132.000000,2
+140.000000,2
+157.000000,2
Z SEMIRHY SLOW PBT4,2
Z PBT RAPID SPIKE,2
"Z PBT 4 > MBT 5-6, L",2
"Z LFP 3-4 , LPF SPRE",2
"Z OPENS EYES, LOOKS",2
Z SPREAD TO LAD,2
Z DROPS PHONE FROM R,2
Z HOLDING ONTO CUP W,2
"Z ICTAL BUILD, INC A",2
Z LIFTS BOTH ARMS,2
Z EMU TECH AND RN EN,2
Z OPENS MOUTH,2
Z UPPER EXTREMITY ST,2
Z TONIC CLONIC UPPER,2
Z EXENSOR POSTURING,2
Z TONIC CLONIC COTNI,2
"Z RESTING, EYES CLOS",2
"Z PBT 4-5 > MBT, LAT",2
"Z SPREAD TO LAD, LFP",2
"Z EYES OPEN, LOOKS U",2
Z UNDER BLANKET,2
"Z FAST SPK, PBT, MBT",2
Z APPEARS TO LIFT AR,2
Z FACIAL GRIMACING,2
Z UPPER EXTREMITY TO,2
Z BILAT UPPER EXTREM,2
+138.000000,2
Z INTERMIT SHP WAVES,2
Z CONT SLOW L TEMP,2
Z NEW SLOWING L FRON,2
Z BROAD RECUR SHP LP,2
Z LAD RAPID SPIKING,2
Z EYES OPEN,2
Z BILAT ARM STIFFENI,2
+185.000000,2
+58.000000,2
+53.000000,2
+57.000000,2
G16,2
definite onset,2
Segment: REC START Temporal E,2
?,2
Sue,2
eeg onset,2
arousal,2
"Segment: REC START KAUFMAN,J2",2
1st change?,2
